Chr_Scaffold	NCBI_ACC	ENS_ACC
scaffold_AADN04012089.1_chr10random	NT_461782.1	AADN04012089.1
scaffold_AADN04012577.1_chr10random	NT_461783.1	AADN04012577.1
scaffold_AADN04012620.1_chr10random	NT_461784.1	AADN04012620.1
scaffold_AADN04012681.1_chr10random	NT_461785.1	AADN04012681.1
scaffold_AADN04012856.1_chr10random	NT_461786.1	AADN04012856.1
scaffold_AADN04013010.1_chr10random	NT_461787.1	AADN04013010.1
scaffold_AADN04013026.1_chr10random	NT_461788.1	AADN04013026.1
scaffold_AADN04013075.1_chr10random	NT_461789.1	AADN04013075.1
scaffold_AADN04013108.1_chr10random	NT_461790.1	AADN04013108.1
scaffold_AADN04013202.1_chr10random	NT_461791.1	AADN04013202.1
scaffold_AADN04013267.1_chr10random	NT_461792.1	AADN04013267.1
scaffold_AADN04013298.1_chr10random	NT_461793.1	AADN04013298.1
scaffold_AADN04013406.1_chr10random	NT_461794.1	AADN04013406.1
scaffold_AADN04013496.1_chr10random	NT_461795.1	AADN04013496.1
scaffold_AADN04013571.1_chr10random	NT_461796.1	AADN04013571.1
scaffold_AADN04014041.1_chr10random	NT_461797.1	AADN04014041.1
scaffold_AADN04014060.1_chr10random	NT_461798.1	AADN04014060.1
scaffold_AADN04014317.1_chr10random	NT_461799.1	AADN04014317.1
scaffold_AADN04014696.1_chr10random	NT_461800.1	AADN04014696.1
scaffold_AADN04014733.1_chr10random	NT_461801.1	AADN04014733.1
scaffold_AADN04014785.1_chr10random	NT_461802.1	AADN04014785.1
scaffold_AADN04014955.1_chr10random	NT_461803.1	AADN04014955.1
scaffold_AADN04015051.1_chr10random	NT_461804.1	AADN04015051.1
scaffold_AADN04015090.1_chr10random	NT_461805.1	AADN04015090.1
scaffold_AADN04015932.1_chr10random	NT_461806.1	AADN04015932.1
scaffold_AADN04015999.1_chr10random	NT_461807.1	AADN04015999.1
scaffold_AADN04016331.1_chr10random	NT_461808.1	AADN04016331.1
scaffold_AADN04016432.1_chr10random	NT_461809.1	AADN04016432.1
scaffold_AADN04016498.1_chr10random	NT_461810.1	AADN04016498.1
scaffold_AADN04016585.1_chr10random	NT_461811.1	AADN04016585.1
scaffold_AADN04016695.1_chr10random	NT_461812.1	AADN04016695.1
scaffold_AADN04016781.1_chr10random	NT_461813.1	AADN04016781.1
scaffold_AADN04016878.1_chr10random	NT_461814.1	AADN04016878.1
scaffold_AADN04016885.1_chr10random	NT_461815.1	AADN04016885.1
scaffold_AADN04017323.1_chr10random	NT_461816.1	AADN04017323.1
scaffold_AADN04017384.1_chr10random	NT_461817.1	AADN04017384.1
scaffold_AADN04017875.1_chr10random	NT_461818.1	AADN04017875.1
scaffold_AADN04017958.1_chr10random	NT_461819.1	AADN04017958.1
scaffold_AADN04018052.1_chr10random	NT_461820.1	AADN04018052.1
scaffold_AADN04018092.1_chr10random	NT_461821.1	AADN04018092.1
scaffold_AADN04018138.1_chr10random	NT_461822.1	AADN04018138.1
scaffold_AADN04018289.1_chr10random	NT_461823.1	AADN04018289.1
scaffold_AADN04018499.1_chr10random	NT_461824.1	AADN04018499.1
scaffold_AADN04018530.1_chr10random	NT_461825.1	AADN04018530.1
scaffold_AADN04018946.1_chr10random	NT_461826.1	AADN04018946.1
scaffold_AADN04019052.1_chr10random	NT_461827.1	AADN04019052.1
scaffold_AADN04019073.1_chr10random	NT_461828.1	AADN04019073.1
scaffold_AADN04019097.1_chr10random	NT_461829.1	AADN04019097.1
scaffold_AADN04019139.1_chr10random	NT_461830.1	AADN04019139.1
scaffold_AADN04019440.1_chr10random	NT_461831.1	AADN04019440.1
scaffold_AADN04019593.1_chr10random	NT_461832.1	AADN04019593.1
scaffold_AADN04019624.1_chr10random	NT_461833.1	AADN04019624.1
scaffold_AADN04019827.1_chr10random	NT_461834.1	AADN04019827.1
scaffold_AADN04019887.1_chr10random	NT_461835.1	AADN04019887.1
scaffold_AADN04019973.1_chr10random	NT_461836.1	AADN04019973.1
scaffold_AADN04020107.1_chr10random	NT_461837.1	AADN04020107.1
scaffold_AADN04020398.1_chr10random	NT_461838.1	AADN04020398.1
scaffold_AADN04020600.1_chr10random	NT_461839.1	AADN04020600.1
scaffold_AADN04020627.1_chr10random	NT_461840.1	AADN04020627.1
scaffold_AADN04020648.1_chr10random	NT_461841.1	AADN04020648.1
scaffold_AADN04020767.1_chr10random	NT_461842.1	AADN04020767.1
scaffold_AADN04020781.1_chr10random	NT_461843.1	AADN04020781.1
scaffold_AADN04020795.1_chr10random	NT_461844.1	AADN04020795.1
scaffold_AADN04020911.1_chr10random	NT_461845.1	AADN04020911.1
scaffold_AADN04021296.1_chr10random	NT_461846.1	AADN04021296.1
scaffold_AADN04021328.1_chr10random	NT_461847.1	AADN04021328.1
scaffold_AADN04021449.1_chr10random	NT_461848.1	AADN04021449.1
scaffold_AADN04021924.1_chr10random	NT_461849.1	AADN04021924.1
scaffold_AADN04022022.1_chr10random	NT_461850.1	AADN04022022.1
scaffold_AADN04022030.1_chr10random	NT_461851.1	AADN04022030.1
scaffold_AADN04022227.1_chr10random	NT_461852.1	AADN04022227.1
scaffold_AADN04022656.1_chr10random	NT_461853.1	AADN04022656.1
scaffold_AADN04022830.1_chr10random	NT_461854.1	AADN04022830.1
scaffold_AADN04022858.1_chr10random	NT_461855.1	AADN04022858.1
scaffold_AADN04023034.1_chr10random	NT_461856.1	AADN04023034.1
scaffold_AADN04023055.1_chr10random	NT_461857.1	AADN04023055.1
scaffold_AADN04023085.1_chr10random	NT_461858.1	AADN04023085.1
scaffold_AADN04023112.1_chr10random	NT_461859.1	AADN04023112.1
scaffold_AADN04023136.1_chr10random	NT_461860.1	AADN04023136.1
scaffold_AADN04023204.1_chr10random	NT_461861.1	AADN04023204.1
scaffold_AADN04023685.1_chr10random	NT_461862.1	AADN04023685.1
scaffold_AADN04023952.1_chr10random	NT_461863.1	AADN04023952.1
scaffold_AADN04023953.1_chr10random	NT_461864.1	AADN04023953.1
scaffold_AADN04023954.1_chr10random	NT_461865.1	AADN04023954.1
scaffold_AADN04023955.1_chr10random	NT_461866.1	AADN04023955.1
scaffold_AADN04023956.1_chr10random	NT_461867.1	AADN04023956.1
scaffold_AADN04023957.1_chr10random	NT_461868.1	AADN04023957.1
scaffold_AADN04023958.1_chr10random	NT_461869.1	AADN04023958.1
scaffold_AADN04023959.1_chr10random	NT_461870.1	AADN04023959.1
scaffold_AADN04023960.1_chr10random	NT_461871.1	AADN04023960.1
scaffold_AADN04023961.1_chr10random	NT_461872.1	AADN04023961.1
scaffold_AADN04023962.1_chr10random	NT_461873.1	AADN04023962.1
scaffold_AADN04023963.1_chr10random	NT_461874.1	AADN04023963.1
scaffold_AADN04023964.1_chr10random	NT_461875.1	AADN04023964.1
scaffold_AADN04023965.1_chr10random	NT_461876.1	AADN04023965.1
scaffold_AADN04023966.1_chr10random	NT_461877.1	AADN04023966.1
scaffold_AADN04023967.1_chr10random	NT_461878.1	AADN04023967.1
scaffold_AADN04023968.1_chr10random	NT_461879.1	AADN04023968.1
scaffold_AADN04024455.1_chr10random	NT_461880.1	AADN04024455.1
scaffold_AADN04002374.1_chr10random	NT_461736.1	AADN04002374.1
scaffold_AADN04002483.1_chr10random	NT_461737.1	AADN04002483.1
scaffold_AADN04002532.1_chr10random	NT_461738.1	AADN04002532.1
scaffold_KQ759444.1_chr10random	NT_461739.1	KQ759444.1
scaffold_KQ759445.1_chr10random	NT_461740.1	KQ759445.1
scaffold_AADN04003494.1_chr10random	NT_461741.1	AADN04003494.1
scaffold_AADN04003656.1_chr10random	NT_461742.1	AADN04003656.1
scaffold_AADN04004008.1_chr10random	NT_461743.1	AADN04004008.1
scaffold_AADN04004479.1_chr10random	NT_461744.1	AADN04004479.1
scaffold_AADN04004902.1_chr10random	NT_461745.1	AADN04004902.1
scaffold_AADN04005427.1_chr10random	NT_461746.1	AADN04005427.1
scaffold_AADN04005818.1_chr10random	NT_461747.1	AADN04005818.1
scaffold_AADN04005857.1_chr10random	NT_461748.1	AADN04005857.1
scaffold_KQ759446.1_chr10random	NT_461749.1	KQ759446.1
scaffold_AADN04006498.1_chr10random	NT_461750.1	AADN04006498.1
scaffold_KQ759447.1_chr10random	NT_461751.1	KQ759447.1
scaffold_AADN04006713.1_chr10random	NT_461752.1	AADN04006713.1
scaffold_AADN04006727.1_chr10random	NT_461753.1	AADN04006727.1
scaffold_AADN04007163.1_chr10random	NT_461754.1	AADN04007163.1
scaffold_AADN04008208.1_chr10random	NT_461755.1	AADN04008208.1
scaffold_AADN04008664.1_chr10random	NT_461756.1	AADN04008664.1
scaffold_AADN04008926.1_chr10random	NT_461757.1	AADN04008926.1
scaffold_AADN04009360.1_chr11random	NT_461925.1	AADN04009360.1
scaffold_AADN04009570.1_chr11random	NT_461926.1	AADN04009570.1
scaffold_AADN04000941.1_chr11random	NT_461881.1	AADN04000941.1
scaffold_AADN04009861.1_chr11random	NT_461927.1	AADN04009861.1
scaffold_AADN04009935.1_chr11random	NT_461928.1	AADN04009935.1
scaffold_AADN04009984.1_chr11random	NT_461929.1	AADN04009984.1
scaffold_AADN04010019.1_chr11random	NT_461930.1	AADN04010019.1
scaffold_KQ759450.1_chr11random	NT_461931.1	KQ759450.1
scaffold_AADN04010160.1_chr11random	NT_461932.1	AADN04010160.1
scaffold_AADN04010190.1_chr11random	NT_461933.1	AADN04010190.1
scaffold_AADN04010227.1_chr11random	NT_461934.1	AADN04010227.1
scaffold_AADN04010364.1_chr11random	NT_461935.1	AADN04010364.1
scaffold_AADN04010461.1_chr11random	NT_461936.1	AADN04010461.1
scaffold_AADN04010856.1_chr11random	NT_461937.1	AADN04010856.1
scaffold_AADN04010893.1_chr11random	NT_461938.1	AADN04010893.1
scaffold_AADN04010975.1_chr11random	NT_461939.1	AADN04010975.1
scaffold_AADN04011114.1_chr11random	NT_461940.1	AADN04011114.1
scaffold_AADN04011165.1_chr11random	NT_461941.1	AADN04011165.1
scaffold_AADN04011259.1_chr11random	NT_461942.1	AADN04011259.1
scaffold_AADN04011342.1_chr11random	NT_461943.1	AADN04011342.1
scaffold_AADN04011717.1_chr11random	NT_461944.1	AADN04011717.1
scaffold_AADN04011782.1_chr11random	NT_461945.1	AADN04011782.1
scaffold_AADN04011884.1_chr11random	NT_461946.1	AADN04011884.1
scaffold_AADN04011933.1_chr11random	NT_461947.1	AADN04011933.1
scaffold_AADN04012055.1_chr11random	NT_461948.1	AADN04012055.1
scaffold_AADN04012317.1_chr11random	NT_461949.1	AADN04012317.1
scaffold_AADN04012351.1_chr11random	NT_461950.1	AADN04012351.1
scaffold_AADN04012354.1_chr11random	NT_461951.1	AADN04012354.1
scaffold_AADN04012392.1_chr11random	NT_461952.1	AADN04012392.1
scaffold_AADN04012413.1_chr11random	NT_461953.1	AADN04012413.1
scaffold_AADN04012501.1_chr11random	NT_461954.1	AADN04012501.1
scaffold_AADN04013025.1_chr11random	NT_461955.1	AADN04013025.1
scaffold_AADN04013064.1_chr11random	NT_461956.1	AADN04013064.1
scaffold_AADN04013101.1_chr11random	NT_461957.1	AADN04013101.1
scaffold_AADN04013161.1_chr11random	NT_461958.1	AADN04013161.1
scaffold_AADN04013215.1_chr11random	NT_461959.1	AADN04013215.1
scaffold_AADN04013249.1_chr11random	NT_461960.1	AADN04013249.1
scaffold_AADN04013466.1_chr11random	NT_461961.1	AADN04013466.1
scaffold_AADN04013902.1_chr11random	NT_461962.1	AADN04013902.1
scaffold_AADN04013961.1_chr11random	NT_461963.1	AADN04013961.1
scaffold_AADN04014227.1_chr11random	NT_461964.1	AADN04014227.1
scaffold_AADN04014311.1_chr11random	NT_461965.1	AADN04014311.1
scaffold_AADN04014353.1_chr11random	NT_461966.1	AADN04014353.1
scaffold_AADN04014405.1_chr11random	NT_461967.1	AADN04014405.1
scaffold_AADN04014480.1_chr11random	NT_461968.1	AADN04014480.1
scaffold_AADN04014509.1_chr11random	NT_461969.1	AADN04014509.1
scaffold_AADN04014619.1_chr11random	NT_461970.1	AADN04014619.1
scaffold_AADN04014651.1_chr11random	NT_461971.1	AADN04014651.1
scaffold_AADN04014800.1_chr11random	NT_461972.1	AADN04014800.1
scaffold_AADN04014869.1_chr11random	NT_461973.1	AADN04014869.1
scaffold_AADN04015054.1_chr11random	NT_461974.1	AADN04015054.1
scaffold_AADN04015274.1_chr11random	NT_461975.1	AADN04015274.1
scaffold_AADN04015381.1_chr11random	NT_461976.1	AADN04015381.1
scaffold_AADN04015462.1_chr11random	NT_461977.1	AADN04015462.1
scaffold_AADN04015895.1_chr11random	NT_461978.1	AADN04015895.1
scaffold_AADN04015962.1_chr11random	NT_461979.1	AADN04015962.1
scaffold_AADN04016323.1_chr11random	NT_461980.1	AADN04016323.1
scaffold_AADN04016462.1_chr11random	NT_461981.1	AADN04016462.1
scaffold_AADN04016528.1_chr11random	NT_461982.1	AADN04016528.1
scaffold_AADN04016587.1_chr11random	NT_461983.1	AADN04016587.1
scaffold_AADN04016821.1_chr11random	NT_461984.1	AADN04016821.1
scaffold_AADN04016990.1_chr11random	NT_461985.1	AADN04016990.1
scaffold_AADN04017027.1_chr11random	NT_461986.1	AADN04017027.1
scaffold_AADN04017034.1_chr11random	NT_461987.1	AADN04017034.1
scaffold_AADN04001591.1_chr11random	NT_461882.1	AADN04001591.1
scaffold_AADN04017083.1_chr11random	NT_461988.1	AADN04017083.1
scaffold_AADN04017644.1_chr11random	NT_461989.1	AADN04017644.1
scaffold_AADN04017917.1_chr11random	NT_461990.1	AADN04017917.1
scaffold_AADN04018073.1_chr11random	NT_461991.1	AADN04018073.1
scaffold_AADN04018189.1_chr11random	NT_461992.1	AADN04018189.1
scaffold_AADN04018240.1_chr11random	NT_461993.1	AADN04018240.1
scaffold_AADN04001717.1_chr11random	NT_461883.1	AADN04001717.1
scaffold_AADN04018825.1_chr11random	NT_461994.1	AADN04018825.1
scaffold_AADN04018878.1_chr11random	NT_461995.1	AADN04018878.1
scaffold_AADN04019132.1_chr11random	NT_461996.1	AADN04019132.1
scaffold_AADN04019401.1_chr11random	NT_461997.1	AADN04019401.1
scaffold_AADN04019550.1_chr11random	NT_461998.1	AADN04019550.1
scaffold_AADN04019640.1_chr11random	NT_461999.1	AADN04019640.1
scaffold_AADN04001836.1_chr11random	NT_461884.1	AADN04001836.1
scaffold_AADN04019724.1_chr11random	NT_462000.1	AADN04019724.1
scaffold_AADN04001857.1_chr11random	NT_461885.1	AADN04001857.1
scaffold_AADN04019957.1_chr11random	NT_462001.1	AADN04019957.1
scaffold_AADN04020061.1_chr11random	NT_462002.1	AADN04020061.1
scaffold_AADN04020283.1_chr11random	NT_462003.1	AADN04020283.1
scaffold_AADN04020552.1_chr11random	NT_462004.1	AADN04020552.1
scaffold_AADN04020633.1_chr11random	NT_462005.1	AADN04020633.1
scaffold_AADN04020754.1_chr11random	NT_462006.1	AADN04020754.1
scaffold_AADN04020954.1_chr11random	NT_462007.1	AADN04020954.1
scaffold_AADN04020963.1_chr11random	NT_462008.1	AADN04020963.1
scaffold_AADN04021146.1_chr11random	NT_462009.1	AADN04021146.1
scaffold_AADN04021167.1_chr11random	NT_462010.1	AADN04021167.1
scaffold_AADN04021216.1_chr11random	NT_462011.1	AADN04021216.1
scaffold_AADN04021286.1_chr11random	NT_462012.1	AADN04021286.1
scaffold_AADN04021330.1_chr11random	NT_462013.1	AADN04021330.1
scaffold_AADN04021371.1_chr11random	NT_462014.1	AADN04021371.1
scaffold_AADN04021411.1_chr11random	NT_462015.1	AADN04021411.1
scaffold_AADN04021717.1_chr11random	NT_462016.1	AADN04021717.1
scaffold_AADN04002028.1_chr11random	NT_461886.1	AADN04002028.1
scaffold_AADN04022180.1_chr11random	NT_462017.1	AADN04022180.1
scaffold_AADN04022205.1_chr11random	NT_462018.1	AADN04022205.1
scaffold_AADN04022433.1_chr11random	NT_462019.1	AADN04022433.1
scaffold_AADN04022467.1_chr11random	NT_462020.1	AADN04022467.1
scaffold_AADN04022474.1_chr11random	NT_462021.1	AADN04022474.1
scaffold_AADN04022499.1_chr11random	NT_462022.1	AADN04022499.1
scaffold_AADN04022725.1_chr11random	NT_462023.1	AADN04022725.1
scaffold_AADN04022787.1_chr11random	NT_462024.1	AADN04022787.1
scaffold_AADN04022814.1_chr11random	NT_462025.1	AADN04022814.1
scaffold_AADN04023019.1_chr11random	NT_462026.1	AADN04023019.1
scaffold_AADN04023152.1_chr11random	NT_462027.1	AADN04023152.1
scaffold_AADN04023535.1_chr11random	NT_462028.1	AADN04023535.1
scaffold_AADN04023680.1_chr11random	NT_462029.1	AADN04023680.1
scaffold_AADN04023969.1_chr11random	NT_462030.1	AADN04023969.1
scaffold_AADN04023970.1_chr11random	NT_462031.1	AADN04023970.1
scaffold_AADN04023971.1_chr11random	NT_462032.1	AADN04023971.1
scaffold_AADN04023972.1_chr11random	NT_462033.1	AADN04023972.1
scaffold_AADN04023973.1_chr11random	NT_462034.1	AADN04023973.1
scaffold_AADN04023974.1_chr11random	NT_462035.1	AADN04023974.1
scaffold_AADN04023975.1_chr11random	NT_462036.1	AADN04023975.1
scaffold_AADN04023976.1_chr11random	NT_462037.1	AADN04023976.1
scaffold_AADN04023977.1_chr11random	NT_462038.1	AADN04023977.1
scaffold_AADN04023978.1_chr11random	NT_462039.1	AADN04023978.1
scaffold_AADN04023979.1_chr11random	NT_462040.1	AADN04023979.1
scaffold_AADN04023980.1_chr11random	NT_462041.1	AADN04023980.1
scaffold_AADN04023981.1_chr11random	NT_462042.1	AADN04023981.1
scaffold_AADN04023982.1_chr11random	NT_462043.1	AADN04023982.1
scaffold_AADN04023983.1_chr11random	NT_462044.1	AADN04023983.1
scaffold_AADN04023984.1_chr11random	NT_462045.1	AADN04023984.1
scaffold_AADN04002263.1_chr11random	NT_461887.1	AADN04002263.1
scaffold_AADN04024456.1_chr11random	NT_462046.1	AADN04024456.1
scaffold_AADN04024457.1_chr11random	NT_462047.1	AADN04024457.1
scaffold_AADN04002569.1_chr11random	NT_461888.1	AADN04002569.1
scaffold_AADN04002787.1_chr11random	NT_461889.1	AADN04002787.1
scaffold_AADN04003342.1_chr11random	NT_461890.1	AADN04003342.1
scaffold_AADN04003639.1_chr11random	NT_461891.1	AADN04003639.1
scaffold_AADN04003727.1_chr11random	NT_461892.1	AADN04003727.1
scaffold_AADN04003736.1_chr11random	NT_461893.1	AADN04003736.1
scaffold_AADN04003895.1_chr11random	NT_461894.1	AADN04003895.1
scaffold_AADN04003947.1_chr11random	NT_461895.1	AADN04003947.1
scaffold_AADN04004156.1_chr11random	NT_461896.1	AADN04004156.1
scaffold_AADN04004633.1_chr11random	NT_461897.1	AADN04004633.1
scaffold_AADN04004728.1_chr11random	NT_461898.1	AADN04004728.1
scaffold_AADN04004989.1_chr11random	NT_461899.1	AADN04004989.1
scaffold_AADN04005136.1_chr11random	NT_461900.1	AADN04005136.1
scaffold_KQ759449.1_chr11random	NT_461901.1	KQ759449.1
scaffold_AADN04005434.1_chr11random	NT_461902.1	AADN04005434.1
scaffold_AADN04005630.1_chr11random	NT_461903.1	AADN04005630.1
scaffold_AADN04005648.1_chr11random	NT_461904.1	AADN04005648.1
scaffold_AADN04005786.1_chr11random	NT_461905.1	AADN04005786.1
scaffold_AADN04005793.1_chr11random	NT_461906.1	AADN04005793.1
scaffold_AADN04005920.1_chr11random	NT_461907.1	AADN04005920.1
scaffold_AADN04006243.1_chr11random	NT_461908.1	AADN04006243.1
scaffold_AADN04006920.1_chr11random	NT_461909.1	AADN04006920.1
scaffold_AADN04006964.1_chr11random	NT_461910.1	AADN04006964.1
scaffold_AADN04007096.1_chr11random	NT_461911.1	AADN04007096.1
scaffold_AADN04007175.1_chr11random	NT_461912.1	AADN04007175.1
scaffold_AADN04007397.1_chr11random	NT_461913.1	AADN04007397.1
scaffold_AADN04007431.1_chr11random	NT_461914.1	AADN04007431.1
scaffold_AADN04007482.1_chr11random	NT_461915.1	AADN04007482.1
scaffold_AADN04008060.1_chr11random	NT_461916.1	AADN04008060.1
scaffold_AADN04008108.1_chr11random	NT_461917.1	AADN04008108.1
scaffold_AADN04008197.1_chr11random	NT_461918.1	AADN04008197.1
scaffold_AADN04008527.1_chr11random	NT_461919.1	AADN04008527.1
scaffold_AADN04008567.1_chr11random	NT_461920.1	AADN04008567.1
scaffold_AADN04008704.1_chr11random	NT_461921.1	AADN04008704.1
scaffold_AADN04008748.1_chr11random	NT_461922.1	AADN04008748.1
scaffold_AADN04008912.1_chr11random	NT_461923.1	AADN04008912.1
scaffold_AADN04009002.1_chr11random	NT_461924.1	AADN04009002.1
scaffold_AADN04009335.1_chr12random	NT_462083.1	AADN04009335.1
scaffold_AADN04009639.1_chr12random	NT_462084.1	AADN04009639.1
scaffold_AADN04009838.1_chr12random	NT_462085.1	AADN04009838.1
scaffold_AADN04009933.1_chr12random	NT_462086.1	AADN04009933.1
scaffold_AADN04010098.1_chr12random	NT_462087.1	AADN04010098.1
scaffold_AADN04010382.1_chr12random	NT_462088.1	AADN04010382.1
scaffold_AADN04010594.1_chr12random	NT_462089.1	AADN04010594.1
scaffold_AADN04010599.1_chr12random	NT_462090.1	AADN04010599.1
scaffold_AADN04010778.1_chr12random	NT_462091.1	AADN04010778.1
scaffold_AADN04010790.1_chr12random	NT_462092.1	AADN04010790.1
scaffold_AADN04011059.1_chr12random	NT_462093.1	AADN04011059.1
scaffold_KQ759453.1_chr12random	NT_462094.1	KQ759453.1
scaffold_AADN04011482.1_chr12random	NT_462095.1	AADN04011482.1
scaffold_AADN04011504.1_chr12random	NT_462096.1	AADN04011504.1
scaffold_AADN04011515.1_chr12random	NT_462097.1	AADN04011515.1
scaffold_AADN04011781.1_chr12random	NT_462098.1	AADN04011781.1
scaffold_AADN04011949.1_chr12random	NT_462099.1	AADN04011949.1
scaffold_AADN04012021.1_chr12random	NT_462100.1	AADN04012021.1
scaffold_AADN04012159.1_chr12random	NT_462101.1	AADN04012159.1
scaffold_AADN04012201.1_chr12random	NT_462102.1	AADN04012201.1
scaffold_AADN04012407.1_chr12random	NT_462103.1	AADN04012407.1
scaffold_AADN04012600.1_chr12random	NT_462104.1	AADN04012600.1
scaffold_AADN04012811.1_chr12random	NT_462105.1	AADN04012811.1
scaffold_AADN04012880.1_chr12random	NT_462106.1	AADN04012880.1
scaffold_AADN04013021.1_chr12random	NT_462107.1	AADN04013021.1
scaffold_AADN04013102.1_chr12random	NT_462108.1	AADN04013102.1
scaffold_AADN04013176.1_chr12random	NT_462109.1	AADN04013176.1
scaffold_AADN04013323.1_chr12random	NT_462110.1	AADN04013323.1
scaffold_AADN04013402.1_chr12random	NT_462111.1	AADN04013402.1
scaffold_AADN04013432.1_chr12random	NT_462112.1	AADN04013432.1
scaffold_AADN04013497.1_chr12random	NT_462113.1	AADN04013497.1
scaffold_AADN04013652.1_chr12random	NT_462114.1	AADN04013652.1
scaffold_AADN04001290.1_chr12random	NT_462048.1	AADN04001290.1
scaffold_AADN04013695.1_chr12random	NT_462115.1	AADN04013695.1
scaffold_AADN04013730.1_chr12random	NT_462116.1	AADN04013730.1
scaffold_AADN04013805.1_chr12random	NT_462117.1	AADN04013805.1
scaffold_AADN04013992.1_chr12random	NT_462118.1	AADN04013992.1
scaffold_AADN04014048.1_chr12random	NT_462119.1	AADN04014048.1
scaffold_AADN04014107.1_chr12random	NT_462120.1	AADN04014107.1
scaffold_AADN04014165.1_chr12random	NT_462121.1	AADN04014165.1
scaffold_AADN04014166.1_chr12random	NT_462122.1	AADN04014166.1
scaffold_AADN04014279.1_chr12random	NT_462123.1	AADN04014279.1
scaffold_AADN04014415.1_chr12random	NT_462124.1	AADN04014415.1
scaffold_AADN04014438.1_chr12random	NT_462125.1	AADN04014438.1
scaffold_AADN04014591.1_chr12random	NT_462126.1	AADN04014591.1
scaffold_AADN04014618.1_chr12random	NT_462127.1	AADN04014618.1
scaffold_AADN04014766.1_chr12random	NT_462128.1	AADN04014766.1
scaffold_AADN04014854.1_chr12random	NT_462129.1	AADN04014854.1
scaffold_AADN04014901.1_chr12random	NT_462130.1	AADN04014901.1
scaffold_AADN04014983.1_chr12random	NT_462131.1	AADN04014983.1
scaffold_AADN04015043.1_chr12random	NT_462132.1	AADN04015043.1
scaffold_AADN04015089.1_chr12random	NT_462133.1	AADN04015089.1
scaffold_AADN04015217.1_chr12random	NT_462134.1	AADN04015217.1
scaffold_AADN04015218.1_chr12random	NT_462135.1	AADN04015218.1
scaffold_AADN04015614.1_chr12random	NT_462136.1	AADN04015614.1
scaffold_AADN04015753.1_chr12random	NT_462137.1	AADN04015753.1
scaffold_AADN04015789.1_chr12random	NT_462138.1	AADN04015789.1
scaffold_AADN04015898.1_chr12random	NT_462139.1	AADN04015898.1
scaffold_AADN04001499.1_chr12random	NT_462049.1	AADN04001499.1
